INDEX,WKSPN,ENGINE,ACTION,DESCRIPTION,MATERIALSBaht
284,GENZ02M61B,MS6001B,Option/Coating,Apply Aluminide coating to gaspath surfaces (based on customer scope / or required based on base material type),"21,110.23"
285,GEBL03M61B,MS6001B,Option,Destructive Testing life time analysis,"154,008.00"
286,GEBL03M61B,MS6001B,Option,"Perform Hot isostatic Press (optional Customer requirement, or through material analysis)","852,251.52"
287,GEBL03M61B,MS6001B,Option/Coating,Apply MCrAlY coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"131,556.78"
288,GEBL03M61B,MS6001B,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,590.03"
289,GEBL03M61B,MS6001B,Option,Perform Cutter Tooth modification,"2,760.17"
290,GESB02M61B,MS6001B,Additional,Replace Seal Fins,"7,630.93"
291,GESB02M61B,MS6001B,Option,Install vacuum brazed honeycomb to seal areas,"36,253.48"
292,GESB02M61B,MS6001B,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"47,128.16"
293,GESB02M61B,MS6001B,Option/Coating,Apply Aluminide coating to gaspath surfaces (based on customer scope / or required based on base material type),"14,590.03"
294,GESB02M61B,MS6001B,Option,Weld Plug Pin of old Dowel holes,"3,974.43"
295,GETP00M91E,MS9001E,Additional,Replace Picture Frame Wear Strip-inner,"2,772.14"
296,GETP00M91E,MS9001E,Additional,Replace Picture Frame Wear Strip-outer,"3,319.73"
297,GETP00M91E,MS9001E,Additional,Replace Picture Frame Wear Strip-side,"1,642.75"
298,GETP00M91E,MS9001E,Additional,Replace H Blocks,"4,312.22"
299,GETP00M91E,MS9001E,Additional,Replace Std. Floating Seals-inner,"12,491.76"
300,GETP00M91E,MS9001E,Additional,Replace Std. Floating Seals-outer,"12,149.52"
301,GETP00M91E,MS9001E,Additional,Replace Aft Bracket Hardware (Bolt),"2,772.14"
302,GETP00M91E,MS9001E,Additional,"Replace Picture Frame ""Standard""","179,196.86"
303,GETP00M91E,MS9001E,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"187,650.19"
304,GETP00M91E,MS9001E,Option/Coating,Apply Class C TBC to internal surfaces (based on customer requirements or as received condition),"203,393.23"
305,GETP00M91E,MS9001E,Option/Coating,Apply Chrome Carbide coating to Inlet End,"14,823.78"
306,GETP00M91E,MS9001E,Option/Coating,Apply Chrome Carbide coating to Support Lug,"4,449.12"
307,GETP00M91E,MS9001E,Option/Coating,Apply Chrome Carbide coating to H Blocks,"8,247.98"
308,GETP00M91E,MS9001E,Option,Apply L605 shields to Support Lug,"1,642.75"
309,GETP00M91E,MS9001E,Option,"CLIP Upgrade, including supply and installation of all wear strips and coatings","79,487.98"
310,GECL00M91E,MS9001E,Additional,Replace Hula Skirt,"8,590.22"
311,GECL00M91E,MS9001E,Additional,Replace Crossfire Collars,"1,437.41"
312,GECL00M91E,MS9001E,Additional,Replace Liner Stop (material FSX414),"1,882.32"
313,GECL00M91E,MS9001E,Additional,Replace End Ring,"8,829.79"
314,GECL00M91E,MS9001E,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"121,221.41"
315,GECL00M91E,MS9001E,Option/Coating,Apply Class C TBC to internal surfaces (based on customer requirements or as received condition),"153,665.76"
316,GECL00M91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Fuel Nozzle Bore (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","3,798.86"
317,GECL00M91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Crossfire Collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,449.12"
318,GECL00M91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Hula Skirt (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","8,114.51"
319,GECL00M91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,715.41"
320,GECL00M91E,MS9001E,Option,Install L605 wear strips to Liner Stop,"1,676.98"
321,GEBL03M91E,MS9001E,Option,Destructive Testing life time analysis,"154,008.00"
322,GEBL03M91E,MS9001E,Option,"Perform Hot isostatic Press for Inconel 738 / CM247LC / U500 (optional customer requirement, or through material analysis)","1,386,366.33"
323,GEBL03M91E,MS9001E,Option/Coating,Apply MCrAlY coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"297,748.80"
324,GEBL03M91E,MS9001E,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,579.42"
325,GEBL03M91E,MS9001E,Option,Perform Cutter Tooth modification,"10,000.25"
326,GECL00M61B,MS6001B,Additional,Replace Hula Skirt,"8,576.88"
327,GECL00M61B,MS6001B,Additional,Replace Collar Air Flower,"1,324.81"
328,GECL00M61B,MS6001B,Additional,Replace Liner Stop,"3,775.59"
329,GECL00M61B,MS6001B,Additional,Replace Gasket,"1,214.27"
330,GECL00M61B,MS6001B,Additional,Replace End Ring,"3,728.36"
331,GECL00M61B,MS6001B,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"77,940.06"
332,GECL00M61B,MS6001B,Option/Coating,Apply Class C TBC to internal surfaces (based on customer requirements or as received condition),"109,592.71"
333,GECL00M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Fuel Nozzle Bore (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","3,171.20"
334,GECL00M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Crossfire Collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","3,171.20"
335,GECL00M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Hula Skirt (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,617.53"
336,GECL00M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","3,995.58"
337,GECL00M61B,MS6001B,Option,Apply L605 shields to Liner Stops,"1,656.10"
338,GESB01M61B,MS6001B,Option/Coating,Apply TBC Abradable coating to Seal Face Surface,"95,777.58"
339,GESB01M61B,MS6001B,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"50,318.18"
340,GESB01M61B,MS6001B,Option,Weld Plug Pin of old Dowel holes,"11,039.98"
341,GENZ03M61B,MS6001B,Additional,Replace Forward Discourager Seal,"3,974.43"
342,GENZ03M61B,MS6001B,Additional,Replace Aft Discourager Seal,"3,974.43"
343,GENZ03M61B,MS6001B,Additional,Replace Dog Bone Seals,"85,714.69"
344,GENZ03M61B,MS6001B,Option,Downstream Deflection rectification,"40,848.06"
345,GENZ03M61B,MS6001B,Option/Coating,Apply Aluminide coating to gaspath surfaces (based on customer scope / or required based on base material type),"21,884.88"
346,GECLDLM91E,MS9001E,Additional,Replace Cross Fire Collars,"1,437.41"
347,GECLDLM91E,MS9001E,Additional,Replace End Ring,"8,829.79"
348,GECLDLM91E,MS9001E,Additional,Replace Hula Skirt,"8,590.22"
349,GECLDLM91E,MS9001E,Additional,Replace Liner Stop (material FSX414),"1,882.32"
350,GECLDLM91E,MS9001E,Additional,Replace Primary Fuel Nozzle Floating Collar,"7,529.28"
351,GECLDLM91E,MS9001E,Option/Coating,Apply Class B TBC to internal surfaces & Cl. C to the venturi (based on customer requirements or as received condition),"144,459.50"
352,GECLDLM91E,MS9001E,Option/Coating,Apply Class C TBC to internal surfaces (based on customer requirements or as received condition),"211,778.11"
353,GECLDLM91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Crossfire collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,449.12"
354,GECLDLM91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Floating collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","19,028.54"
355,GECLDLM91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Hula Skirt (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","8,247.98"
356,GECLDLM91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,715.41"
357,GECLDLM91E,MS9001E,Option,Apply L605 shields to Liner Stops,"1,676.98"
358,GESB01M91E,MS9001E,Option/Coating,Apply TBC Abradable coating to Seal Face Surface,"170,401.30"
359,GESB01M91E,MS9001E,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"35,935.20"
360,GESB01M91E,MS9001E,Option,Weld Plug Pin of old Dowel holes,"15,914.16"
361,GEBL01M501,MS5001,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,590.03"
363,GEBL01M501,MS5001,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"15,400.80"
364,GEBL01M501,MS5001,Option,"Perform Hot isostatic Press for Inconel 738 (optional Customer requirement, or through material analysis)","852,246.05"
365,GEBL01M501,MS5001,Option,Destructive Testing life time analysis,"155,664.10"
366,GETP00M61B,MS6001B,Additional,Replace Picture Frame Wear Strips,"6,624.06"
367,GETP00M61B,MS6001B,Additional,Replace H Blocks,"4,305.72"
368,GETP00M61B,MS6001B,Additional,Replace Std. Floating Seals-inner,"10,057.41"
369,GETP00M61B,MS6001B,Additional,Replace Std. Floating Seals-outer,"10,059.80"
372,GETP00M61B,MS6001B,Additional,Replace Aft Bracket Hardware tractor type (Bolt),"2,208.13"
373,GETP00M61B,MS6001B,Additional,Replace Picture Frame,"75,897.88"
374,GETP00M61B,MS6001B,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"72,569.94"
375,GETP00M61B,MS6001B,Option/Coating,Apply Class C TBC to internal surfaces (based on customer requirements or as received condition),"170,565.23"
376,GETP00M61B,MS6001B,Option/Coating,Apply Chrome Carbide coating to Inlet End,"8,337.99"
377,GETP00M61B,MS6001B,Option/Coating,Apply Chrome Carbide coating to H Blocks,"5,073.71"
378,GETP00M61B,MS6001B,Option,Replace L605 wear strips / covers to H blocks,"4,415.92"
379,GETP00M61B,MS6001B,Option,"CLIP Upgrade, including supply and installation of all wear strips and coatings","79,487.98"
380,GENZ01M501,MS5001,Option/Coating,Apply MCrAlY (APS) coating to gaspath surface,"156,061.44"
381,GENZ01M501,MS5001,Additional,Replace Core Plugs,"6,072.02"
382,GENZ01M501,MS5001,Additional,Trailing Edge Coupon Replacement,"28,253.62"
383,GENZ01M501,MS5001,Additional,Replace Lap Seal,"8,831.85"
384,GENA01M51P,MS5001P,Option/Coating,Apply MCrAlY (APS) coating to gaspath surface,"74,916.34"
385,GENA01M51P,MS5001P,Additional,Replace Core Plugs,"6,624.06"
386,GENA01M51P,MS5001P,Additional,Trailing Edge Coupon Replacement-TBD,0
387,GENA01M51P,MS5001P,Additional,Replace Lap Seal,"33,738.36"
388,GENZ01M7EA,MS7001EA,Additional,Trailing Edge Coupon Replacement,"38,639.92"
389,GENZ01M7EA,MS7001EA,Additional,Replace Lap Seal,"33,738.36"
390,GENZ01M7EA,MS7001EA,Additional,Replace Core Plugs,"6,624.06"
391,GENZ01M7EA,MS7001EA,Option/Coating,Apply MCrAlY bond (APS) & full TBC (based on as received condition or customer requirements),"177,759.46"
392,GENZ01M7EA,MS7001EA,Option/Coating,Modify nozzle harmonics & apply MCrAlY bond (APS) & full TBC coating if upgraded from none coated segment,"187,821.31"
393,GENZ01M7EA,MS7001EA,Option/Coating,Apply MCrAlY bond (APS) & Partial TBC to gaspath surface (option to full TBC to reduce discharge pressure effect),"155,297.56"
394,GENZ01M7EA,MS7001EA,Option/Coating,Apply MCrAlY (APS) coating to gaspath surface,"114,034.37"
395,GENA01M91E,MS9001E,Additional,Trailing Edge Coupon Replacement,"66,223.44"
396,GENA01M91E,MS9001E,Additional,Replace Lap Seal,"31,691.42"
397,GENA01M91E,MS9001E,Additional,Replace Core Plugs,"13,244.69"
398,GENA01M91E,MS9001E,Option/Coating,Apply MCrAlY bond (APS) & Partial TBC to gaspath surface (option to full TBC to reduce discharge pressure effect),"198,499.20"
399,GENA01M91E,MS9001E,Option/Coating,Modify nozzle harmonics & apply MCrAlY bond (APS) & full TBC coating if upgraded from none coated segment,"249,048.05"
400,GENA01M91E,MS9001E,Option/Coating,Apply MCrAlY bond (APS) & full TBC (based on as received condition or customer requirements),"205,344.00"
401,GENA01M91E,MS9001E,Option/Coating,Apply MCrAlY (APS) coating to gaspath surface,"140,318.40"
402,GENA01M61B,MS6001B,Additional,Replace Lap Seal,"43,519.24"
403,GENA01M61B,MS6001B,Additional,Replace Core Plugs,"6,624.06"
404,GENA01M61B,MS6001B,Additional,Trailing Edge Coupon Replacement,"33,870.81"
405,GENA01M61B,MS6001B,Option/Coating,Apply MCrAlY bond (APS) & Partial TBC to gaspath surface (option to full TBC to reduce discharge pressure effect),"123,206.40"
406,GENA01M61B,MS6001B,Option/Coating,Modify Nozzle harmonics & apply MCrAlY bond (APS) & TBC coating if upgraded from none coated segment,"154,008.00"
407,GENA01M61B,MS6001B,Option/Coating,Apply MCrAlY bond (APS) & full TBC (based on as received condition or customer requirements),"140,318.40"
408,GENA01M61B,MS6001B,Option/Coating,Apply MCrAlY (APS) coating to gaspath area,"75,394.79"
409,SIBL01V842,V84.2,Option/Coating,MCrAlY (2231 equivalent)-(1 type required for all repairs),"114,816.04"
410,SIBL01V842,V84.2,Option/Coating,MCrAlY with TBC overlay (Sicoat 3464 equivalent) -(1 type required for all repairs),"412,896.13"
411,SIBL02V842,V84.2,Option/Coating,MCrAlY (2231 equivalent)-(1 type required for all repairs),"136,896.00"
412,SIBL02V842,V84.2,Option/Coating,MCrAlY with TBC overlay (Sicoat 3464 equivalent) -(1 type required for all repairs),"446,016.07"
413,SIBL03V842,V84.2,Option/Coating,Apply MCrAlY coating to to external gaspath areas using HVOF coating process. (SI 2231 equivalent),"226,319.89"
414,SIBL04V842,V84.2,Option,"Perform X ray inspection of any suspect areas, report all non conformities","2,980.91"
415,SINZ01V842,V84.2,Option/Coating,MCrAlY (2231 equivalent)-(1 type required for all repairs),"226,319.89"
416,SINZ01V842,V84.2,Option/Coating,MCrAlY with TBC overlay (Sicoat 3464 equivalent) -(1 type required for all repairs),"391,919.90"
417,SINZ02V842,V84.2,Option/Coating,MCrAlY (2231 equivalent)-(1 type required for all repairs),"226,319.89"
418,SINZ02V842,V84.2,Option/Coating,MCrAlY with TBC overlay (Sicoat 3464 equivalent) -(1 type required for all repairs),"391,919.90"
419,GENZ03M7EA,MS7001EA,Additional,Replace Forward Discourager Seal,"6,214.74"
420,GENZ03M7EA,MS7001EA,Additional,Replace Aft Discourager Seal,"6,214.74"
421,GENZ03M7EA,MS7001EA,Additional,Replace Dog Bone Seals,"166,182.85"
422,GENZ03M7EA,MS7001EA,Option,Downstream Deflection rectification,"52,040.33"
423,GENZ03M7EA,MS7001EA,Option/Coating,Apply Aluminide coating to gaspath surfaces (based on customer scope / or required based on base material type),"28,596.55"
424,ABBBL01A1D5,ABB11D5,Option,Perform material Destructive life assessment,"154,008.00"
425,ABBBL01A1D5,ABB11D5,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","247,402.56"
426,ABBBL01A1D5,ABB11D5,Option,"Perform X ray inspection of any suspect areas, report all non conformities",543.24
427,ABBBL02A1D5,ABB11D5,Option,Perform material Destructive life assessment,"154,008.00"
428,ABBBL02A1D5,ABB11D5,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","247,402.56"
429,ABBBL02A1D5,ABB11D5,Option,"Perform X ray inspection of any suspect areas, report all non conformities",543.24
430,ABBBL02A1D5,ABB11D5,Option,Perform Stripping the SS14 Coating at as receipt condition,"325,942.86"
431,ABBBL03A1D5,ABB11D5,Option,Perform material Destructive life assessment,"154,008.00"
432,ABBBL03A1D5,ABB11D5,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","247,402.56"
433,ABBBL03A1D5,ABB11D5,Option,"Perform X ray inspection of any suspect areas, report all non conformities",977.83
434,ABBBL03A1D5,ABB11D5,Option,Perform Diffused Aluminide coating to external gas path surfaces,"10,864.76"
435,ABBBL03A1D5,ABB11D5,Option,Perform Stripping the SS14 Coating at as receipt condition,"325,942.86"
436,ABBBL04A1D5,ABB11D5,Option,Perform material Destructive life assessment,"154,008.00"
437,ABBBL04A1D5,ABB11D5,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","247,402.56"
438,ABBBL04A1D5,ABB11D5,Option,"Perform X ray inspection of any suspect areas, report all non conformities","1,412.42"
439,ABBBL05A1D5,ABB11D5,Option,Perform material Destructive life assessment,"154,008.00"
440,ABBBL05A1D5,ABB11D5,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","247,402.56"
441,ABBBL05A1D5,ABB11D5,Option,"Perform X ray inspection of any suspect areas, report all non conformities","1,412.42"
442,ABBNZ01A1D5,ABB11D5,Option,Apply TBC coating to gas path areas,"165,062.35"
443,ABBNZ01A1D5,ABB11D5,Option,Perform Welding and Machining on Tip 2.0 mm,"27,161.90"
444,ABBNZ01A1D5,ABB11D5,Option,Mix 2 material in a set,0
445,ABBNZ01A1D5,ABB11D5,Option,Mix 3 material in a set,0
446,ABBNZ02A1D5,ABB11D5,Option,Perform Welding and Machining on Tip 2.0 mm,"27,161.90"
447,ABBNZ02A1D5,ABB11D5,Option,Mix 2 material in a set,0
448,ABBNZ02A1D5,ABB11D5,Option,Mix 3 material in a set,0
449,ABBNZ03A1D5,ABB11D5,Option,Perform Welding and Machining on Tip 2.0 mm,"27,161.90"
450,ABBNZ03A1D5,ABB11D5,Option,Mix 2 material in a set,0
451,ABBNZ03A1D5,ABB11D5,Option,Mix 3 material in a set,0
452,ABBNZ04A1D5,ABB11D5,Option,Replace Seal Fin,"2,172.95"
453,ABBNZ05A1D5,ABB11D5,Option,Replace Seal Fin,"2,172.95"
454,MWCL02MW7F,MW701F,Option,Replace Spring seal,"13,205.33"
455,MWCL02MW7F,MW701F,Option,Replace Air scoop,"1,650.62"
456,MWCL02MW7F,MW701F,Option,Replace Cross fire collar,"1,650.62"
457,MWCL02MW7F,MW701F,Option,Replace Pilot swirler,0
458,MWCL02MW7F,MW701F,Option,Replace swirler,0
459,MWCL02MW7F,MW701F,Option,Replace Pilot swirler extendor mouth,0
460,MWCL02MW7F,MW701F,Option,Replace fin ring #1,0
461,MWCL02MW7F,MW701F,Option,Replace fin ring #2 & 3,0
462,MWCL02MW7F,MW701F,Option,Replace fin ring #4,0
463,MWBL03MW7D,MW701D,Option,Perform material life assessment as required iaw EthosEnergy procedures,"154,008.00"
464,MWBL03MW7D,MW701D,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","1,732,957.91"
465,MWBL04MW7D,MW701D,Option,Perform material life assessment as required iaw EthosEnergy procedures,"154,008.00"
466,MWNZ03MW7D,MW701D,Option,Apply MCrAlY coating to external gas path surfaces,"130,377.01"
467,MWNZ03MW7D,MW701D,Option,Replace damaged or unrepairable Cooling Tubes,"76,053.26"
468,MWCL00MW7D,MW701D,Additional,Repalce spring seal (Inner ans Outer),"33,680.87"
469,MWCL00MW7D,MW701D,Additional,Replace Ring and strip,"15,058.56"
470,MWCL00MW7D,MW701D,Additional,Replace Air scoop,"3,593.52"
471,MWCL00MW7D,MW701D,Additional,Replace Cross fire collar,"4,175.33"
472,MWCM00MW7D,MW701D,Option,Apply Chrome Carbide (Hard face) coating base to spring seal mating surface,"37,372.61"
473,SIBL01V931,V93.1,Option,"Weld build up tip additional 2 mm., to pre tip grind dimensions",543.13
474,SIBL01V931,V93.1,Option,Apply TBC overlay coating to standard MCrAlY coated gas path surfaces using APS,"108,647.51"
475,SIBL01V931,V93.1,Option,Perfrom destructive testing,"154,008.00"
476,SIBL01V931,V93.1,Option,Perfrom hipping,0
477,SIBL01V931,V93.1,Option,Additional cost if blade set base material is mixed (additional cost to cover separte heat treatment requirements),0
478,SIBL02V931,V93.1,Option,"Weld build up tip additional 2 mm., to pre tip grind dimensions",543.13
479,SIBL02V931,V93.1,Option,Apply TBC overlay coating to standard MCrAlY coated gas path surfaces using APS,"119,512.26"
480,SIBL02V931,V93.1,Option,Perfrom destructive testing,"154,008.00"
481,SIBL02V931,V93.1,Option,Perfrom hipping,0
482,SIBL02V931,V93.1,Option,Additional cost if blade set base material is mixed (additional cost to cover separte heat treatment requirements),0
483,SIBL03V931,V93.1,Option,"Weld build up tip additional 2 mm., to pre tip grind dimensions",543.13
484,SIBL03V931,V93.1,Option,Apply HVOF MCrAlY to gas path surfaces including Pulse Thermography inspection of coated surfaces,"260,754.37"
485,SIBL03V931,V93.1,Option,Perfrom destructive testing,"154,008.00"
486,SIBL03V931,V93.1,Option,Perfrom hipping,0
487,SIBL03V931,V93.1,Option,Additional cost if blade set base material is mixed (additional cost to cover separte heat treatment requirements),0
488,SIBL04V931,V93.1,Option,"Weld build up tip additional 2 mm., to pre tip grind dimensions",311.1
489,SIBL04V931,V93.1,Option,Perfrom destructive testing,"154,008.00"
490,SIBL04V931,V93.1,Option,Perfrom hipping,0
491,SIBL04V931,V93.1,Option,Additional cost if blade set base material is mixed (additional cost to cover separte heat treatment requirements),0
492,SINZ01V931,V93.1,Option,Additional cost if blade set base material is mixed (additional cost to cover separte heat treatment requirements),0
493,SINZ01V931,V93.1,Option,Apply TBC overlay coating onto standard MCrAlY coated gas path surfaces using APS,"119,512.26"
494,SINZ02V931,V93.1,Option,Additional cost if blade set base material is mixed (additional cost to cover separte heat treatment requirements),"4,345.76"
495,SINZ02V931,V93.1,Option,Apply TBC overlay coating onto standard MCrAlY coated gas path surfaces using APS,"162,971.27"
496,GESB02M501,MS5001,Additional,Replace Seal Fins,"11,923.30"
497,GESB02M501,MS5001,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"34,052.88"
498,GESB02M501,MS5001,Option,Weld Plug Pin of old Dowel holes,"16,187.95"
499,GESB02M51P,MS5001P,Additional,Replace Seal Fins,"11,923.30"
500,GESB02M51P,MS5001P,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"34,052.88"
501,GESB02M51P,MS5001P,Option,Weld Plug Pin of old Dowel holes,"16,187.95"
502,GECLDLM91E,MS9001E,Option,Replace the complete lower section of DLN type combustion liner with Nimonic 236 base material,"1,523,785.27"
503,GEFN00M91E,MS9001E,Option,Replace Air Cone,"29,535.31"
504,GECR00M91E,MS9001E,Option/Coating,Apply Chrome Carbide coating to Forks,"9,684.02"
505,WSTBL01W501D,W501D,Option,Perform material life assessment,"154,008.00"
506,GEBH00M51P,MS5001P,Additional,Apply L605 shields to Forks,"2,208.00"
507,GEBH00M51P,MS5001P,Option/Coating,"Apply Chrome Carbide coating to Forks (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","8,879.07"
508,GEFS00M51P,MS5001P,Additional,Replace Liner Stop,"2,208.13"
509,GEFS00M51P,MS5001P,Additional,Replace Stopper Pin,220.74
510,GEFS00M51P,MS5001P,Option,Apply L605 shields to Liner Stops,"1,656.10"
511,GEFS00M51P,MS5001P,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,707.88"
512,WSTBL01W501D,W501D,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","489,026.74"
513,WSTBL01W501D,W501D,Option/coating,Apply MCrAlY coating to external airfoil and surface finish (based on as received condition or customer requirements),"107,566.03"
514,WSTBL01W501D,W501D,Option/coating,Apply MCrAlY and TBC coating to external airfoil area and surface finish (based on as received condition or customer requirements),"319,423.89"
515,WSTBL02W501D,W501D,Option,Perform material life assessment,"154,008.00"
516,WSTBL02W501D,W501D,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","685,201.44"
517,WSTBL02W501D,W501D,Option/coating,Apply MCrAlY coating to external airfoil and surface finish (based on as received condition or customer requirements),"127,107.94"
518,WSTBL02W501D,W501D,Option/coating,Apply MCrAlY and TBC coating to external airfoil area and surface finish (based on as received condition or customer requirements),"323,769.99"
519,WSTBL03W501D,W501D,Option,Perform material life assessment,"154,008.00"
520,WSTBL03W501D,W501D,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","1,732,957.92"
521,WSTBL03W501D,W501D,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"15,645.16"
522,WSTBL03W501D,W501D,Option/Coating,Apply MCrAlY coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"141,241.76"
523,WSTBL04W501D,W501D,Option,Perform material life assessment,"154,008.00"
524,WSTNZ01W501D,W501D,Additional,Replace insert forward cooling (core plug),"9,660.83"
525,WSTNZ01W501D,W501D,Additional,Replace insert aftward cooling (core plug),"7,163.43"
526,WSTNZ01W501D,W501D,Option/Coating,Apply MCrAlY coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"114,775.61"
527,WSTNZ01W501D,W501D,Option/Coating,Apply MCrAlY and TBC coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"238,575.50"
528,WSTNZ02W501D,W501D,Additional,Replace insert cooling,"11,054.35"
529,WSTNZ02W501D,W501D,Option,Perform downstream dimensional correction,"48,906.10"
530,WSTNZ02W501D,W501D,Option/Coating,Apply MCrAlY coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"176,014.03"
531,WSTNZ02W501D,W501D,Option/Coating,Apply MCrAlY and TBC coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"303,121.97"
532,WSTNZ03W501D,W501D,Additional,Replace Cooling Tubes,"76,045.73"
533,WSTNZ03W501D,W501D,Option,Perform downstream deflection rectification,"60,304.74"
534,WSTNZ03W501D,W501D,Option/coating,Apply Aluminide coating togas path (based on as received condition or customer requirements),"27,379.20"
535,WSTNZ03W501D,W501D,Option/coating,Apply MCrAlY coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"244,457.24"
536,WSTNZ04W501D,W501D,Additional,Replace Cooling Tubes,"76,045.73"
537,WSTNZ04W501D,W501D,Option,Perform downstream deflection rectification,"53,584.86"
538,WSTTP00W501D,W501D,Additional,Replace inlet end,"82,137.60"
539,WSTTP00W501D,W501D,Additional,Replace upper panel,"75,297.93"
540,WSTTP00W501D,W501D,Additional,Replace lower panel,"75,297.93"
541,WSTTP00W501D,W501D,Additional,Replace mounting plate,"11,122.80"
542,WSTTP00W501D,W501D,Additional,Replace side seal,"1,555.48"
543,WSTTP00W501D,W501D,Option/Coating,Apply 2X TBC to internal surfaces,"285,743.36"
544,WSTTP00W501D,W501D,Option/Coating,Apply Chrome Carbide coating to mounting Lugs,"7,302.72"
545,WSTTP00W501D,W501D,Option/Coating,Apply standard Bond coat & TBC to internal surfaces (based on customer requirements or as received condition),"156,800.34"
546,WSTCB00W501D,W501D,Additional,Replace Ring #1,"5,372.75"
547,WSTCB00W501D,W501D,Additional,Replace Ring#2,"5,372.75"
548,WSTCB00W501D,W501D,Additional,"Replace Ring#3,4","4,619.82"
549,WSTCB00W501D,W501D,Additional,Replace Ring#5,"4,431.59"
550,WSTCB00W501D,W501D,Additional,Replace Ring#6,"12,149.10"
551,WSTCB00W501D,W501D,Additional,Replace Ring#7,"10,266.78"
552,WSTCB00W501D,W501D,Additional,Replace Wiggle (Spacer band),"1,478.48"
553,WSTCB00W501D,W501D,Additional,Replace Ring#1 scoops,"1,367.25"
554,WSTCB00W501D,W501D,Additional,Replace Ring#2 scoops,"1,499.01"
555,WSTCB00W501D,W501D,Additional,Replace Ring#6A scoops,"1,367.25"
556,WSTCB00W501D,W501D,Additional,Replace Ring#6B scoops,"1,649.60"
557,WSTCB00W501D,W501D,Additional,Replace J strip,"6,125.68"
558,WSTCB00W501D,W501D,Additional,Replace Spring seals (inner & Outer),"14,031.42"
559,WSTCB00W501D,W501D,Additional,Replace X fire tube (Crossflame),"1,348.43"
